filename,F1,Precision,Recall,OA
pic_out0.jpg,0.9657,0.9898,0.9427,0.9961
pic_out1.jpg,0.9586,0.9818,0.9365,0.9953
pic_out10.jpg,0.9757,0.9949,0.9573,0.9972
pic_out11.jpg,0.9675,0.9883,0.9476,0.9963
pic_out12.jpg,0.9643,0.9982,0.9327,0.9959
pic_out13.jpg,0.9704,0.9895,0.9521,0.9966
pic_out14.jpg,0.9805,0.9962,0.9652,0.9977
pic_out15.jpg,0.967,0.9976,0.9382,0.9962
pic_out16.jpg,0.9631,0.9955,0.9327,0.9958
pic_out17.jpg,0.9554,0.9961,0.9178,0.995
pic_out18.jpg,0.967,0.9975,0.9383,0.9963
pic_out19.jpg,0.9555,0.9906,0.9227,0.995
pic_out2.jpg,0.9795,0.9964,0.9631,0.9976
pic_out20.jpg,0.9346,0.9553,0.9148,0.9925
pic_out21.jpg,0.9593,0.9931,0.9277,0.9954
pic_out22.jpg,0.9331,0.9663,0.9021,0.9924
pic_out23.jpg,0.9473,0.9751,0.9211,0.994
pic_out24.jpg,0.9393,0.9163,0.9635,0.9927
pic_out25.jpg,0.9459,0.9659,0.9266,0.9938
pic_out26.jpg,0.8799,0.8128,0.9591,0.9846
pic_out27.jpg,0.9679,0.995,0.9423,0.9963
pic_out28.jpg,0.8744,0.8096,0.9505,0.9824
pic_out29.jpg,0.9494,0.9935,0.9091,0.9943
pic_out3.jpg,0.911,0.9339,0.8893,0.9898
pic_out30.jpg,0.9575,0.9939,0.9237,0.9952
pic_out31.jpg,0.9655,0.9818,0.9497,0.996
pic_out32.jpg,0.9569,0.9848,0.9306,0.9951
pic_out33.jpg,0.9485,0.9916,0.9089,0.9942
pic_out34.jpg,0.9474,0.9955,0.9038,0.9941
pic_out35.jpg,0.9597,0.9975,0.9247,0.9954
pic_out36.jpg,0.9575,0.9961,0.9218,0.9952
pic_out37.jpg,0.9531,0.9655,0.941,0.9946
pic_out38.jpg,0.9631,0.994,0.9341,0.9958
pic_out39.jpg,0.9559,0.9924,0.922,0.995
pic_out4.jpg,0.9448,0.9767,0.915,0.9938
pic_out40.jpg,0.9462,0.9587,0.934,0.9937
pic_out41.jpg,0.9322,0.892,0.9762,0.9917
pic_out42.jpg,0.9553,0.9807,0.9312,0.9949
pic_out43.jpg,0.9489,0.9862,0.9143,0.9942
pic_out44.jpg,0.9534,0.9964,0.914,0.9948
pic_out45.jpg,0.951,0.9968,0.9093,0.9945
pic_out46.jpg,0.959,0.9971,0.9238,0.9954
pic_out47.jpg,0.9623,0.9839,0.9417,0.9957
pic_out48.jpg,0.9684,0.9865,0.9509,0.9964
pic_out49.jpg,0.9607,0.9928,0.9306,0.9955
pic_out5.jpg,0.9069,0.8884,0.9261,0.9888
pic_out50.jpg,0.965,0.9853,0.9454,0.996
pic_out6.jpg,0.9803,0.9917,0.9691,0.9977
pic_out7.jpg,0.9526,0.9536,0.9516,0.9944
pic_out8.jpg,0.9756,0.9957,0.9562,0.9972
pic_out9.jpg,0.9663,0.9716,0.961,0.9961
-,0.9530647058823527,0.9736549019607844,0.9345823529411764,0.9945215686274509
